Produkt;PDF_kg;Konsummengen_CH_kg_p_y;Total_PDF_Produkt_CH;Anteil;Bemerkung
Weizen;4.37E-15;72.1;3.15E-13;6.30%;
Mais;1.44E-15;2.2;3.18E-15;0.10%;
Soja;4.63E-15;0.8;3.70E-15;0.10%;
Kaffee;1.34E-13;8;1.07E-12;21.40%;
Kakao;2.90E-13;4.6;1.35E-12;27.00%;
Cashew;4.87E-14;0.4;1.85E-14;0.40%;
Linsen;1.45E-14;0.4;5.60E-15;0.10%;
Pfeffer;1.18E-13;0.2;1.83E-14;0.40%;
Orange;2.23E-15;4.8;1.06E-14;0.20%;
Zitrone & Limetten;2.60E-15;4.4;1.15E-14;0.20%;
Avocado;7.31E-15;2.2;1.59E-14;0.30%;
Oliven;2.27E-14;0.9;2.11E-14;0.40%;
Mango;1.02E-14;2;2.02E-14;0.40%;
Karotten;4.73E-16;7.8;3.70E-15;0.10%;
Bananen;7.88E-15;11.6;9.11E-14;1.80%;
Gurke;4.30E-16;4.4;1.88E-15;0.00%;
Tomaten;3.34E-16;9.4;3.13E-15;0.10%;
Äpfel;2.50E-16;12.8;3.19E-15;0.10%;
Zwiebeln;1.42E-15;6.1;8.61E-15;0.20%;
Kartoffeln;4.85E-16;48.8;2.37E-14;0.50%;
Auberginen;1.31E-15;2.1;2.75E-15;0.10%;
Chili;8.08E-16;5.3;4.28E-15;0.10%;
Blumenkohl & Broccoli;2.20E-15;5.3;1.17E-14;0.20%;
Knoblauch;5.55E-15;0.6;3.33E-15;0.10%;
Aprikosen;6.19E-15;1.4;8.61E-15;0.20%;
Pfirsiche & Nektarinen;3.07E-15;3.2;9.95E-15;0.20%;
Mandeln;4.20E-14;2.4;1.01E-13;2.00%;
Kiwi;2.08E-15;1.3;2.70E-15;0.10%;
Salat;1.15E-15;10.8;1.24E-14;0.20%;
Clementinen & Mandarinen;2.45E-15;4.8;1.17E-14;0.20%;
Reis;7.00E-15;6.5;4.55E-14;0.90%;
Birnen;4.62E-16;2.9;1.35E-15;0.00%;
Grüne Erbsen;4.07E-15;1.2;5.05E-15;0.10%;
Bohnen;2.49E-15;0.5;1.20E-15;0.00%;
Papaya;7.32E-16;0.3;2.21E-16;0.00%;
Rindsfilet;8.25E-14;;;0.00%;*Nur CH-Produktion
Schweinsfilet;2.35E-14;;;0.00%;*Nur CH-Produktion
Pouletfleisch;8.41E-15;14.78;1.24E-13;2.50%;*Nur CH-Produktion
Rindfleisch;2.48E-14;11.56;2.86E-13;5.70%;*Nur CH-Produktion
Schweinefleisch;7.59E-15;21.22;1.61E-13;3.20%;*Nur CH-Produktion
Ei;6.44E-15;13.3;8.57E-14;1.70%;*Nur CH-Produktion
Olivenöl;1.48E-13;2;2.95E-13;5.90%;
Wein;6.40E-15;33.6;2.15E-13;4.30%;
Sonnenblumenöl;1.50E-14;5.4;8.10E-14;1.60%;
Rapsöl;8.51E-15;4.7;4.00E-14;0.80%;
Milch;1.83E-15;46.7;8.53E-14;1.70%;*Nur CH-Produktion
Joghurt;2.79E-15;15.4;4.30E-14;0.90%;*Nur CH-Produktion
Hartkäse;1.31E-14;4.22;5.54E-14;1.10%;*Nur CH-Produktion
Halbhartkäse;1.20E-14;7.35;8.83E-14;1.80%;*Nur CH-Produktion
Weichkäse;9.17E-15;2.39;2.19E-14;0.40%;*Nur CH-Produktion
Frischkäse;4.27E-15;9.24;3.95E-14;0.80%;*Nur CH-Produktion
Butter;1.70E-14;5.2;8.82E-14;1.80%;*Nur CH-Produktion
Palmöl;3.92E-14;1.5;5.88E-14;1.20%;
